ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
PN96_04225	1.0	queD	6-carboxy-5,6,7,8-tetrahydropterin synthase	[MISSING]
PN96_03905	2.0	trpA	tryptophan synthase subunit alpha	[MISSING]
PN96_22445	2.0	trpB	tryptophan synthase subunit beta	[MISSING]
PN96_01430	1.0	acnB	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	[MISSING]
PN96_01340	24.0	aceF	pyruvate dehydrogenase	[MISSING]
PN96_01325	1.0	ampD	N-acetyl-anhydromuranmyl-L-alanine amidase	[MISSING]
PN96_00265	1.0	metH	methionine synthase	[MISSING]
PN96_10585	1.0	aceB	malate synthase	[MISSING]
PN96_10880	1.0	ribF	FMN adenylyltransferase	[MISSING]
PN96_05595	1.0	pepN	aminopeptidase N	[MISSING]
PN96_17275	1.0	pncB	nicotinate phosphoribosyltransferase	[MISSING]
PN96_05345	4.0	prpB	2-methylisocitrate lyase	[MISSING]
PN96_23315	1.0	malG	maltose transporter permease	[MISSING]
PN96_00495	2.0	lptB	sugar ABC transporter ATP-binding protein	[MISSING]
PN96_19695	2.0	rbsC	ribose ABC transporter permease	[MISSING]
PN96_11770	1.0	msrA	methionine sulfoxide reductase A	[MISSING]
PN96_00060	1.0	coaA	pantothenate kinase	[MISSING]
PN96_11040	1.0	grcA	autonomous glycyl radical cofactor GrcA	[MISSING]
PN96_03410	1.0	dsbB	dihydrolipoamide acyltransferase	[MISSING]
PN96_03415	1.0	nhaB	sodium:proton antiporter	[MISSING]
PN96_08660	1.0	potG	transporter	[MISSING]
PN96_08655	1.0	potH	spermidine/putrescine ABC transporter permease	[MISSING]
PN96_21670	1.0	zwf	glucose-6-phosphate dehydrogenase	[MISSING]
PN96_13075	1.0	edd	phosphogluconate dehydratase	[MISSING]
PN96_09250	1.0	znuA	zinc ABC transporter substrate-binding protein	[MISSING]
PN96_09260	2.0	znuB	membrane protein	[MISSING]
PN96_09255	2.0	znuC	zinc ABC transporter ATPase	[MISSING]
PN96_16250	1.0	mpaA	murein peptide amidase A	[MISSING]
PN96_01320	2.0	nadC	nicotinate-nucleotide pyrophosphorylase	[MISSING]
PN96_00570	6.0	pyrB	aspartate carbamoyltransferase catalytic subunit	[MISSING]
PN96_00565	6.0	pyrI	aspartate carbamoyltransferase regulatory subunit	[MISSING]
PN96_09970	1.0	treB	PTS system trehalose(maltose)-specific transporter subunits IIBC	[MISSING]
PN96_14210	1.0	acs	acetyl-CoA synthetase	[MISSING]
PN96_11155	2.0	carA	carbamoyl phosphate synthase small subunit	[MISSING]
PN96_11150	2.0	carB	carbamoyl phosphate synthase large subunit	[MISSING]
PN96_16015	2.0	araH	L-arabinose transporter permease	[MISSING]
PN96_04070	2.0	nrdA	ribonucleotide-diphosphate reductase subunit alpha	[MISSING]
PN96_22075	1.0	xylB	xylulose kinase	[MISSING]
PN96_13280	2.0	glyQ	glycyl-tRNA synthetase	[MISSING]
PN96_15600	1.0	malQ	4-alpha-glucanotransferase	[MISSING]
PN96_09495	1.0	ligA	NAD-dependent DNA ligase LigA	[MISSING]
PN96_12330	1.0	wecA	UDP-phosphate N-acetylglucosaminyl 1-phosphate transferase	[MISSING]
PN96_01040	8.0	pdxJ	pyridoxine 5'-phosphate synthase	[MISSING]
PN96_10885	1.0	murJ	multidrug transporter MurJ	[MISSING]
PN96_04690	1.0	grxB	glutaredoxin	[MISSING]
PN96_10990	1.0	fldB	flavodoxin	[MISSING]
PN96_01060	1.0	relA	(p)ppGpp synthetase	[MISSING]
PN96_10055	1.0	thiI	tRNA s(4)U8 sulfurtransferase	[MISSING]
PN96_01385	10.0	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	[MISSING]
PN96_09950	2.0	lipA	lipoyl synthase	[MISSING]
PN96_19840	1.0	dcuC	C4-dicarboxylate transporter	[MISSING]
PN96_11045	1.0	thrC	threonine synthase	[MISSING]
PN96_11050	1.0	thrB	serine kinase	[MISSING]
PN96_22795	1.0	fdhF	formate dehydrogenase	[MISSING]
PN96_03710	1.0	nrfD	tetrathionate reductase	[MISSING]
PN96_19090	4.0	betB	betaine-aldehyde dehydrogenase	[MISSING]
PN96_19095	1.0	betA	choline dehydrogenase	[MISSING]
PN96_01620	1.0	glmM	phosphoglucosamine mutase	[MISSING]
PN96_02915	2.0	accD	acetyl-CoA carboxylase subunit beta	[MISSING]
PN96_13770	1.0	gppA	guanosine polyphosphate pyrophosphohydrolase	[MISSING]
PN96_14795	1.0	argC	N-acetyl-gamma-glutamyl-phosphate reductase	[MISSING]
PN96_20240	1.0	dld	lactate dehydrogenase	[MISSING]
PN96_09235	3.0	feoB	iron transporter FeoB	[MISSING]
PN96_10195	1.0	mltF	murein transglycosylase	[MISSING]
PN96_06330	1.0	puuE	allantoinase	[MISSING]
PN96_02340	2.0	accA	acetyl-CoA carboxylase subunit alpha	[MISSING]
PN96_00625	1.0	lptG	lipopolysaccharide ABC transporter permease	[MISSING]
PN96_00620	1.0	lptF	lipopolysaccharide ABC transporter permease	[MISSING]
PN96_06815	1.0	cobC	alpha-ribazole phosphatase	[MISSING]
PN96_12260	4.0	galU	UTP--glucose-1-phosphate uridylyltransferase	[MISSING]
PN96_09945	1.0	lipB	octanoyltransferase	[MISSING]
PN96_09920	1.0	mrdA	penicillin-binding protein 2	[MISSING]
PN96_14040	1.0	plsB	glycerol-3-phosphate acyltransferase	[MISSING]
PN96_14035	1.0	ubiA	4-hydroxybenzoate polyprenyltransferase	[MISSING]
PN96_07430	2.0	nhaA	pH-dependent sodium/proton antiporter	[MISSING]
PN96_00770	1.0	mltC	murein transglycosylase	[MISSING]
PN96_18655	1.0	paaA	ATPase AAA	[MISSING]
PN96_00880	4.0	metK	S-adenosylmethionine synthetase	[MISSING]
PN96_12360	1.0	lpxM	lauroyl acyltransferase	[MISSING]
PN96_06455	1.0	hcaB	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	[MISSING]
PN96_04065	2.0	nrdB	ribonucleotide-diphosphate reductase subunit beta	[MISSING]
PN96_15125	2.0	fhuB	Fe3+-siderophore ABC transporter permease	[MISSING]
PN96_11130	1.0	btuF	Vitamin B12-binding protein	[MISSING]
PN96_00270	2.0	lysC	aspartate kinase	[MISSING]
PN96_15640	1.0	sstT	serine/threonine protein kinase	[MISSING]
PN96_13285	2.0	glyS	glycine-tRNA synthetase subunit beta	[MISSING]
PN96_16865	1.0	speB	agmatinase	[MISSING]
PN96_01945	1.0	glpD	glycerol-3-phosphate dehydrogenase	[MISSING]
PN96_01235	1.0	gshA	glutamate--cysteine ligase	[MISSING]
PN96_02730	2.0	ccmA	cytochrome C biogenesis protein CcmA	[MISSING]
PN96_02735	1.0	ccmB	heme ABC transporter permease	[MISSING]
PN96_18075	1.0	napA	nitrate reductase	[MISSING]
PN96_15295	1.0	napG	quinol dehydrogenase	[MISSING]
PN96_15290	1.0	napH	quinol dehydrogenase	[MISSING]
PN96_08570	1.0	thiK	thiamine kinase	[MISSING]
PN96_03300	1.0	moaA	molybdenum cofactor biosynthesis protein A	[MISSING]
PN96_03310	6.0	moaC	molybdenum cofactor biosynthesis protein MoaC	[MISSING]
PN96_03315	2.0	moaD	molybdopterin synthase	[MISSING]
PN96_03320	2.0	moaE	molybdopterin synthase catalytic subunit	[MISSING]
PN96_05480	1.0	yccX	acylphosphatase	[MISSING]
PN96_18465	1.0	mrcB	peptidase	[MISSING]
PN96_16080	1.0	tauA	taurine ABC transporter substrate-binding protein	[MISSING]
PN96_17585	1.0	xdhC	xanthine dehydrogenase	[MISSING]
PN96_01585	1.0	dacB	D-alanyl-D-alanine carboxypeptidase	[MISSING]
PN96_11685	1.0	ispB	octaprenyl diphosphate synthase	[MISSING]
PN96_12420	6.0	coaD	phosphopantetheine adenylyltransferase	[MISSING]
PN96_00550	1.0	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	[MISSING]
PN96_12370	1.0	waaA	3-deoxy-D-manno-octulosonic acid transferase	[MISSING]
PN96_10680	2.0	mepA	peptidase	[MISSING]
PN96_09015	2.0	ugpC	sugar ABC transporter ATPase	[MISSING]
PN96_19465	1.0	mqo	malate:quinone oxidoreductase	[MISSING]
PN96_05920	1.0	mobA	molybdopterin-guanine dinucleotide biosynthesis protein A	[MISSING]
PN96_13225	4.0	hemG	protoporphyrinogen oxidase	[MISSING]
PN96_00040	1.0	pssA	phosphatidylserine synthase	[MISSING]
PN96_20375	1.0	trxC	thioredoxin	[MISSING]
PN96_16680	1.0	thiM	hydroxyethylthiazole kinase	[MISSING]
PN96_12645	1.0	cysQ	3'-5'-bisphosphate nucleotidase	[MISSING]
PN96_07900	1.0	bioC	biotin synthase	[MISSING]
PN96_09320	1.0	pgm	phosphoglucomutase	[MISSING]
PN96_09340	1.0	fldA	hypothetical protein	[MISSING]
PN96_16980	1.0	msrB	methionine sulfoxide reductase	[MISSING]
PN96_07695	1.0	torA	trimethylamine N-oxide reductase I catalytic subunit	[MISSING]
PN96_07700	1.0	torC	nitrate reductase	[MISSING]
PN96_10075	1.0	ispA	geranyl transferase	[MISSING]
PN96_06260	1.0	mhpD	2-keto-4-pentenoate hydratase	[MISSING]
PN96_21415	2.0	cyoD	cytochrome O ubiquinol oxidase	[MISSING]
PN96_22600	1.0	cyoE	protoheme IX farnesyltransferase	[MISSING]
PN96_09985	2.0	metN	DL-methionine transporter ATP-binding subunit	[MISSING]
PN96_02405	1.0	fadE	acyl-CoA dehydrogenase	[MISSING]
PN96_00505	1.0	lptC	lipopolysaccharide assembly protein	[MISSING]
PN96_05285	1.0	pgl	6-phosphogluconolactonase	[MISSING]
PN96_08895	1.0	menC	O-succinylbenzoate synthase	[MISSING]
PN96_08890	1.0	menE	O-succinylbenzoic acid--CoA ligase	[MISSING]
PN96_08900	6.0	menB	dihydroxynaphthoic acid synthetase	[MISSING]
PN96_13240	2.0	fadB	multifunctional fatty acid oxidation complex subunit alpha	[MISSING]
PN96_13245	2.0	fadA	3-ketoacyl-CoA thiolase	[MISSING]
PN96_17590	1.0	xdhB	aldehyde oxidase	[MISSING]
PN96_17595	1.0	xdhA	xanthine dehydrogenase	[MISSING]
PN96_08300	1.0	glgA	glycogen synthase	[MISSING]
PN96_08605	6.0	udp	uridine phosphorylase	[MISSING]
PN96_16675	1.0	thiE	thiamine-phosphate pyrophosphorylase	[MISSING]
PN96_20500	2.0	modB	molybdate ABC transporter permease	[MISSING]
PN96_20505	2.0	modC	molybdate transporter ATP-binding protein	[MISSING]
PN96_20495	1.0	modA	molybdate transporter	[MISSING]
PN96_16020	2.0	araG	L-arabinose transporter ATP-binding protein	[MISSING]
PN96_14625	1.0	astA	arginine N-succinyltransferase	[MISSING]
PN96_14630	1.0	astD	succinylglutamate-semialdehyde dehydrogenase	[MISSING]
PN96_21420	2.0	cyoC	cytochrome o ubiquinol oxidase subunit III	[MISSING]
PN96_14385	1.0	frdA	fumarate reductase	[MISSING]
PN96_14370	1.0	frdD	fumarate reductase	[MISSING]
PN96_02315	6.0	fabZ	3-hydroxyacyl-ACP dehydratase	[MISSING]
PN96_14375	1.0	frdC	fumarate reductase	[MISSING]
PN96_09300	1.0	sdhC	succinate dehydrogenase	[MISSING]
PN96_13530	1.0	trkA	potassium transporter peripheral membrane component	[MISSING]
PN96_11435	1.0	plsY	glycerol-3-phosphate acyltransferase	[MISSING]
PN96_02455	1.0	arsC	arsenate reductase	[MISSING]
PN96_22765	1.0	arsB	arsenic resistance protein ArsB	[MISSING]
PN96_05205	2.0	proW	glycine/betaine ABC transporter permease	[MISSING]
PN96_05200	1.0	proX	glycine/betaine ABC transporter substrate-binding protein	[MISSING]
PN96_05210	2.0	proV	glycine/betaine ABC transporter ATP-binding protein	[MISSING]
PN96_20955	1.0	gcvH	glycine cleavage system protein H	[MISSING]
PN96_20940	1.0	gcvT	glycine cleavage system protein T	[MISSING]
PN96_00955	1.0	ubiH	2-octaprenyl-6-methoxyphenyl hydroxylase	[MISSING]
PN96_07800	2.0	hisG	ATP phosphoribosyltransferase	[MISSING]
PN96_12760	12.0	glnA	glutamine synthetase	[MISSING]
PN96_02430	3.0	upp	uracil phosphoribosyltransferase	[MISSING]
PN96_21425	1.0	cyoB	cytochrome o ubiquinol oxidase subunit I	[MISSING]
PN96_20455	2.0	nrdD	ribonucleoside-triphosphate reductase	[MISSING]
PN96_09965	1.0	treC	trehalose-6-phosphate hydrolase	[MISSING]
PN96_11745	4.0	fbp	fructose 1,6-bisphosphatase	[MISSING]
PN96_11740	1.0	mpl	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase	[MISSING]
PN96_22130	1.0	galK	galactokinase	[MISSING]
PN96_03990	1.0	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	[MISSING]
PN96_02325	1.0	lpxB	lipid-A-disaccharide synthase	[MISSING]
PN96_16910	1.0	brnQ	branched-chain amino acid ABC transporter	[MISSING]
PN96_10130	4.0	proB	gamma-glutamyl kinase	[MISSING]
PN96_14195	1.0	accC	acetyl-CoA carboxylase	[MISSING]
PN96_13735	1.0	ggt	gamma-glutamyltransferase	[MISSING]
PN96_13590	1.0	aroE	shikimate dehydrogenase	[MISSING]
PN96_15345	1.0	lldD	lactate dehydrogenase	[MISSING]
PN96_14415	6.0	cysE	serine acetyltransferase	[MISSING]
PN96_14420	1.0	gpsA	glycerol-3-phosphate dehydrogenase	[MISSING]
PN96_21535	1.0	fucK	L-fuculose kinase	[MISSING]
PN96_06800	2.0	btuC	Vitamin B12 import system permease BtuC	[MISSING]
PN96_03335	1.0	oppC	peptide ABC transporter permease	[MISSING]
PN96_07785	1.0	hisB	imidazoleglycerol-phosphate dehydratase	[MISSING]
PN96_10085	1.0	pgpA	phosphatidylglycerophosphatase	[MISSING]
PN96_10100	60.0	ribE	6,7-dimethyl-8-ribityllumazine synthase	[MISSING]
PN96_10090	1.0	thiL	thiamine monophosphate kinase	[MISSING]
PN96_07750	1.0	lpxH	UDP-2,3-diacylglucosamine hydrolase	[MISSING]
PN96_06525	1.0	panF	sodium/panthothenate symporter	[MISSING]
PN96_14875	1.0	rpe	ribulose-phosphate 3-epimerase	[MISSING]
PN96_11560	1.0	ilvN	acetolactate synthase 3 regulatory subunit	[MISSING]
PN96_02030	1.0	mltA	murein transglycosylase	[MISSING]
PN96_02050	2.0	csdA	cysteine sulfinate desulfinase	[MISSING]
PN96_01955	4.0	glpK	glycerol kinase	[MISSING]
PN96_05940	1.0	nagK	N-acetylglucosamine kinase	[MISSING]
PN96_01740	1.0	deoC	deoxyribose-phosphate aldolase	[MISSING]
PN96_07330	1.0	cydD	cysteine ABC transporter ATP-binding protein	[MISSING]
PN96_07335	1.0	cydC	amino acid ABC transporter permease	[MISSING]
PN96_08150	1.0	ybgC	acyl-CoA thioesterase	[MISSING]
PN96_14975	2.0	malK	maltose/maltodextrin transporter ATP-binding protein	[MISSING]
PN96_11215	1.0	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	[MISSING]
PN96_11220	1.0	mraY	phospho-N-acetylmuramoyl-pentapeptide- transferase	[MISSING]
PN96_11230	1.0	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase	[MISSING]
PN96_11720	2.0	thiQ	thiamine ABC transporter ATP-binding protein	[MISSING]
PN96_11730	1.0	thiB	thiamine ABC transporter substrate-binding protein	[MISSING]
PN96_20960	2.0	gcvP	glycine dehydrogenase	[MISSING]
PN96_13875	1.0	cyaY	frataxin	[MISSING]
PN96_11810	1.0	cysC	adenylylsulfate kinase	[MISSING]
PN96_00500	1.0	lptA	ABC transporter substrate-binding protein	[MISSING]
PN96_19700	1.0	rbsB	D-ribose transporter subunit RbsB	[MISSING]
PN96_05790	1.0	potB	spermidine/putrescine ABC transporter permease	[MISSING]
PN96_05795	1.0	potC	spermidine/putrescine ABC transporter permease	[MISSING]
PN96_09885	1.0	lnt	apolipoprotein acyltransferase	[MISSING]
PN96_17035	1.0	yjjG	dUMP phosphatase	[MISSING]
PN96_09295	1.0	sdhD	succinate dehydrogenase	[MISSING]
PN96_09290	1.0	sdhA	succinate dehydrogenase	[MISSING]
PN96_18660	1.0	paaB	phenylacetate-CoA oxygenase	[MISSING]
PN96_07920	2.0	serS	seryl-tRNA synthetase	[MISSING]
PN96_09270	2.0	sucC	succinyl-CoA synthetase subunit beta	[MISSING]
PN96_09265	2.0	sucD	succinyl-CoA synthetase subunit alpha	[MISSING]
PN96_18650	1.0	paaZ	enoyl-CoA hydratase	[MISSING]
PN96_01765	1.0	serB	phosphoserine phosphatase	[MISSING]
PN96_03110	1.0	fecE	iron ABC transporter	[MISSING]
PN96_11205	1.0	murG	UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	[MISSING]
PN96_11200	1.0	murC	UDP-N-acetylmuramate--alanine ligase	[MISSING]
PN96_20845	4.0	glgC	glucose-1-phosphate adenylyltransferase	[MISSING]
PN96_11180	1.0	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	[MISSING]
PN96_00825	1.0	proC	pyrroline-5-carboxylate reductase	[MISSING]
PN96_15205	1.0	pstC	phosphate ABC transporter permease	[MISSING]
PN96_15200	1.0	pstA	phosphate ABC transporter permease	[MISSING]
PN96_15195	2.0	pstB	phosphate ABC transporter ATP-binding protein	[MISSING]
PN96_19580	4.0	dapA	dihydrodipicolinate synthase	[MISSING]
PN96_16355	1.0	gltS	sodium:glutamate symporter	[MISSING]
PN96_12570	1.0	spoT	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	[MISSING]
PN96_13880	1.0	lysA	diaminopimelate decarboxylase	[MISSING]
PN96_12870	1.0	ubiB	ubiquinone biosynthesis protein UbiB	[MISSING]
PN96_12880	1.0	ubiE	ubiquinone biosynthesis methyltransferase UbiE	[MISSING]
PN96_10520	2.0	iscU	scaffolding protein	[MISSING]
PN96_07155	2.0	pheT	phenylalanine--tRNA ligase	[MISSING]
PN96_07160	2.0	pheS	phenylalanine--tRNA ligase alpha subunit	[MISSING]
PN96_03185	40.0	adhE	acetaldehyde dehydrogenase	[MISSING]
PN96_07185	2.0	thrS	threonine--tRNA ligase	[MISSING]
PN96_18685	1.0	paaG	enoyl-CoA hydratase	[MISSING]
PN96_18665	1.0	paaC	phenylacetic acid degradation protein	[MISSING]
PN96_18705	1.0	paaF	phenylacetate--CoA ligase	[MISSING]
PN96_12785	1.0	add	adenosine deaminase	[MISSING]
PN96_21320	2.0	artP	arginine ABC transporter ATP-binding protein	[MISSING]
PN96_21305	1.0	artM	arginine transporter permease subunit ArtM	[MISSING]
PN96_21310	1.0	artQ	ABC transporter	[MISSING]
PN96_23325	1.0	malE	sugar ABC transporter substrate-binding protein	[MISSING]
PN96_23320	1.0	malF	maltose transporter membrane protein	[MISSING]
PN96_11655	1.0	folA	diacylglycerol kinase	[MISSING]
PN96_08505	1.0	lpxK	tetraacyldisaccharide 4'-kinase	[MISSING]
PN96_05440	1.0	queC	7-cyano-7-deazaguanine synthase	[MISSING]
PN96_03620	1.0	cmk	cytidylate kinase	[MISSING]
PN96_08495	1.0	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	[MISSING]
PN96_20460	2.0	nrdG	ribonucleoside-triphosphate reductase	[MISSING]
PN96_12560	2.0	gmk	guanylate kinase	[MISSING]
PN96_10485	4.0	ndk	nucleoside diphosphate kinase	[MISSING]
PN96_03850	1.0	metE	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	[MISSING]
PN96_00905	2.0	fbaA	fructose-bisphosphate aldolase	[MISSING]
PN96_13430	3.0	glmU	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	[MISSING]
PN96_12085	2.0	tpiA	triosephosphate isomerase	[MISSING]
PN96_14305	2.0	fieF	ferrous iron transporter	[MISSING]
PN96_14310	4.0	pfkA	6-phosphofructokinase	[MISSING]
PN96_10465	2.0	hisS	histidinol dehydrogenase	[MISSING]
PN96_03520	2.0	pabC	4-amino-4-deoxychorismate lyase	[MISSING]
PN96_03515	2.0	fabF	3-oxoacyl-ACP synthase	[MISSING]
PN96_03505	4.0	fabG	3-ketoacyl-ACP reductase	[MISSING]
PN96_03490	2.0	plsX	phosphate acyltransferase	[MISSING]
PN96_03530	2.0	tmk	thymidylate kinase	[MISSING]
PN96_01075	2.0	eno	enolase	[MISSING]
PN96_03235	2.0	gloA	glyoxalase I	[MISSING]
PN96_09220	1.0	argS	arginyl-tRNA synthetase	[MISSING]
PN96_02980	4.0	aqpZ	porin	[MISSING]
PN96_20210	4.0	ltaE	threonine aldolase	[MISSING]
PN96_19470	4.0	aspA	aspartate ammonia-lyase	[MISSING]
PN96_09380	2.0	asnB	asparagine synthetase B	[MISSING]
PN96_09365	4.0	nagA	N-acetylglucosamine-6-phosphate deacetylase	[MISSING]
PN96_00175	1.0	purD	phosphoribosylamine--glycine ligase	[MISSING]
PN96_11635	2.0	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	[MISSING]
PN96_07345	2.0	serC	MFS transporter	[MISSING]
PN96_08465	1.0	pflA	pyruvate formate lyase-activating enzyme 1	[MISSING]
PN96_08455	2.0	pflB	pyruvate formate-lyase	[MISSING]
PN96_08320	1.0	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	[MISSING]
PN96_11360	3.0	tolC	outer membrane channel protein	[MISSING]
PN96_11355	2.0	nudF	ADP-ribose pyrophosphatase	[MISSING]
PN96_16870	4.0	speA	arginine decarboxylase	[MISSING]
PN96_20320	2.0	nirB	nitrite reductase	[MISSING]
PN96_19685	10.0	rbsD	D-ribose pyranase	[MISSING]
PN96_10255	6.0	nadK	inorganic polyphosphate kinase	[MISSING]
PN96_14090	1.0	murI	glutamate racemase	[MISSING]
PN96_10425	2.0	guaA	GMP synthase	[MISSING]
PN96_10635	2.0	ppx	exopolyphosphatase	[MISSING]
PN96_10430	4.0	guaB	inosine-5-monophosphate dehydrogenase	[MISSING]
PN96_08190	2.0	aspS	aspartyl-tRNA synthetase	[MISSING]
PN96_01335	2.0	aceE	pyruvate dehydrogenase	[MISSING]
PN96_21795	2.0	lpdA	dihydrolipoamide dehydrogenase	[MISSING]
PN96_10860	2.0	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	[MISSING]
PN96_10580	4.0	aceA	isocitrate lyase	[MISSING]
PN96_04220	2.0	asnS	asparaginyl-tRNA synthetase	[MISSING]
PN96_05350	2.0	prpC	methylcitrate synthase	[MISSING]
PN96_19705	2.0	rbsK	ribokinase	[MISSING]
PN96_18205	10.0	folE	GTP cyclohydrolase	[MISSING]
PN96_09645	1.0	gltX	glutamyl-tRNA synthetase	[MISSING]
PN96_00990	1.0	nadB	L-aspartate oxidase	[MISSING]
PN96_15680	1.0	glgX	glycogen debranching protein	[MISSING]
PN96_00855	4.0	gshB	glutathione synthetase	[MISSING]
PN96_21525	2.0	fucO	alcohol dehydrogenase	[MISSING]
PN96_10010	2.0	queF	7-cyano-7-deazaguanine reductase	[MISSING]
PN96_09725	2.0	hemA	glutamyl-tRNA reductase	[MISSING]
PN96_09700	3.0	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase	[MISSING]
PN96_11555	4.0	pykF	pyruvate kinase	[MISSING]
PN96_01295	1.0	coaE	dephospho-CoA kinase	[MISSING]
PN96_03200	2.0	sodB	superoxide dismutase	[MISSING]
PN96_11160	4.0	dapB	dihydrodipicolinate reductase	[MISSING]
PN96_14775	4.0	metF	5,10-methylenetetrahydrofolate reductase	[MISSING]
PN96_12625	1.0	bioH	pimelyl-ACP methyl ester esterase	[MISSING]
PN96_09520	2.0	ptsI	phosphoenolpyruvate-protein phosphotransferase	[MISSING]
PN96_09525	1.0	crr	PTS system glucose-specific transporter subunit IIA	[MISSING]
PN96_13780	1.0	trxA	thioredoxin	[MISSING]
PN96_01045	2.0	acpS	ACP synthase	[MISSING]
PN96_23080	2.0	pyrC	dihydroorotase	[MISSING]
PN96_06820	2.0	cobU	adenosylcobinamide kinase	[MISSING]
PN96_06830	2.0	cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	[MISSING]
PN96_10965	2.0	lysS	lysine--tRNA ligase	[MISSING]
PN96_01065	2.0	mazG	nucleoside triphosphate hydrolase	[MISSING]
PN96_10080	2.0	dxs	1-deoxy-D-xylulose-5-phosphate synthase	[MISSING]
PN96_18200	2.0	moeA	molybdenum cofactor biosynthesis protein MoaA	[MISSING]
PN96_18195	2.0	moeB	molybdopterin-synthase adenylyltransferase	[MISSING]
PN96_07110	2.0	purT	phosphoribosylglycinamide formyltransferase 2	[MISSING]
PN96_01380	2.0	panC	pantoate--beta-alanine ligase	[MISSING]
PN96_11055	4.0	thrA	aspartate kinase	[MISSING]
PN96_07525	1.0	ushA	5'-nucleotidase	[MISSING]
PN96_05640	2.0	fabA	3-hydroxydecanoyl-ACP dehydratase	[MISSING]
PN96_08810	4.0	tesB	palmitoyl-CoA hydrolase	[MISSING]
PN96_01615	2.0	folP	dihydropteroate synthase	[MISSING]
PN96_02935	4.0	purF	amidophosphoribosyltransferase	[MISSING]
